Age,RemoteWork,YearsCode,Knowledge_1,JobSatPoints_1,AISelect,JobSat,JobSatPoints_6,JobSatPoints_8
40,1,20,2,50,1,8,25,0
40,2,20,2,0,0,8,30,0
50,2,31,2,0,0,5,0,0
30,2,12,1,10,1,10,60,10
30,2,5,2,90,1,6,100,90
50,1,25,1,30,1,9,20,0
40,1,20,1,10,0,4,0,0
40,1,20,1,0,1,7,25,10
30,1,7,0,0,1,7,50,15
30,2,10,1,0,0,7,0,30
40,2,18,1,20,0,6,15,20
30,1,10,1,5,0,7,30,20
30,1,9,-1,0,1,7,10,0
40,1,15,1,30,1,7,10,0
40,3,22,2,0,0,9,30,20
30,2,10,1,10,1,9,10,35
30,1,6,2,7,1,7,5,5
40,2,20,1,0,1,6,20,0
30,1,11,1,0,1,3,0,0
30,3,8,2,20,0,3,15,10
30,2,18,-1,40,0,7,80,70
30,1,6,2,10,0,6,100,0
60,2,40,1,0,0,7,20,20
30,2,5,1,0,0,9,0,0
50,2,39,2,15,0,9,8,7
30,1,15,1,0,1,9,0,0
50,2,30,1,0,0,7,0,0
20,2,3,2,90,1,10,65,100
60,2,40,1,0,0,7,10,20
50,1,31,1,5,0,6,30,15
20,2,10,2,10,1,7,8,10
50,1,30,0,0,0,8,0,0
50,1,42,2,40,1,8,10,0
40,2,20,1,0,0,7,20,20
30,2,12,1,0,1,7,0,0
40,1,34,1,0,0,4,10,10
30,1,15,1,0,0,2,30,10
50,2,40,2,10,1,8,15,20
30,3,2,1,80,0,8,50,50
60,2,40,2,10,1,4,20,30
30,2,10,0,0,0,6,0,0
30,3,6,2,10,1,3,20,25
30,1,11,1,0,1,7,0,0
20,2,4,2,20,1,8,15,0
30,1,15,1,40,1,2,10,5
30,3,10,2,25,1,7,25,24
30,1,11,2,80,1,8,90,90
30,1,7,1,0,1,1,30,0
30,3,8,2,0,1,9,25,15
20,2,11,1,5,1,4,20,20
50,2,15,1,10,1,9,30,10
40,2,16,1,70,1,7,75,60
40,2,33,2,15,0,7,20,20
20,1,9,1,0,1,8,0,0
30,2,9,2,75,1,8,0,100
50,2,34,2,10,1,8,30,40
30,2,12,1,25,0,8,35,0
40,1,15,2,60,1,10,10,20
30,2,11,2,0,1,8,0,0
40,3,30,2,5,1,6,20,30
40,1,22,1,0,0,8,20,20
30,2,13,2,30,1,8,30,10
20,1,5,1,5,1,6,30,0
20,2,10,0,50,0,7,90,90
30,3,10,0,10,1,9,10,15
50,2,8,1,90,1,8,90,90
30,2,9,-1,0,0,10,40,50
30,2,5,2,40,1,3,90,70
40,2,23,2,0,0,9,20,20
30,1,8,1,15,0,8,25,15
40,1,14,1,10,1,10,10,10
40,2,5,1,70,1,7,80,80
30,2,15,1,0,1,10,0,0
20,3,5,1,33,1,3,33,0
30,2,12,2,0,1,6,0,0
20,1,14,1,0,1,2,25,50
30,1,10,1,50,1,7,100,100
30,1,18,1,0,1,6,20,15
40,2,30,2,20,0,8,20,20
40,1,18,1,20,1,10,0,20
30,2,14,0,0,1,8,100,0
50,3,28,2,60,0,6,50,0
20,2,5,0,10,1,5,10,9
30,3,8,2,20,1,6,30,20
40,2,24,1,0,0,7,100,100
30,2,9,2,0,1,7,20,20
30,2,10,1,20,1,6,40,0
30,1,14,1,35,1,9,15,5
30,1,8,2,10,0,7,20,15
60,1,31,2,40,0,9,25,25
40,2,20,1,10,1,8,15,20
40,2,25,2,75,1,10,5,0
50,1,25,1,20,0,9,0,40
30,1,15,2,22,1,8,20,15
30,3,15,1,25,0,3,10,10
